Date	End Time	Wind Speed	Vestas 126 3.3MW Power Output	Vestas 126 3.3MW Operating Status	GAMESA 114 2.5MW Power Output	GAMESA 114 2.5MW Operating Status	Grid Purchases	Grid Sales	Total Electrical Load Served	Renewable Penetration	Excess Electrical Production	Capacity Shortage	Total Renewable Power Output	Inverter Power Input	Inverter Power Output	Rectifier Power Input	Rectifier Power Output	GS200 z20 Maximum Charge Power	GS200 z20 Maximum Discharge Power	GS200 z20 Charge Power	GS200 z20 Discharge Power	GS200 z20 Input Power	GS200 z20 Energy Content	GS200 z20 State of Charge	GS200 z20 Energy Cost	AC Required Operating Capacity	DC Required Operating Capacity	AC Operating Capacity	DC Operating Capacity	Battery Delta Q	Cost Per Hour
		m/s	kW	status	kW	status	kW	kW	kW	%	kW	kW	kW	kW	kW	kW	kW	kW	kW	kW	kW	kW	kWh	%	$/kWh	kW	kW	kW	kW	?	$
Jan 1	1:00	6.014	7642.170	0.000	11394.355	0.000	0.000	19036.525	19036.525	100.000	0.000	0.000	19036.525	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	9518.263	0.000	19046.525	1423.025	0.000	-1903.653
Jan 1	2:00	5.208	4923.124	0.000	8746.447	0.000	0.000	13669.571	13669.571	100.000	0.000	0.000	13669.571	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	6834.786	0.000	13679.571	1423.025	0.000	-1366.957
Jan 1	3:00	4.735	3658.328	0.000	7456.432	0.000	0.000	11114.760	11114.760	100.000	0.000	0.000	11114.760	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	5557.380	0.000	11124.760	1423.025	0.000	-1111.476
Jan 1	4:00	1.592	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	0.000	0.000	10.000	1423.025	0.000	0.000
Jan 1	5:00	2.212	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	0.000	0.000	10.000	1423.025	0.000	0.000
Jan 1	6:00	2.398	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	0.000	0.000	10.000	1423.025	0.000	0.000
Jan 1	7:00	2.174	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	0.000	0.000	10.000	1423.025	0.000	0.000
Jan 1	8:00	3.585	1402.059	0.000	3041.818	0.000	0.000	4443.876	4443.876	100.000	0.000	0.000	4443.876	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	2221.938	0.000	4453.876	1423.025	0.000	-444.388
Jan 1	9:00	3.540	1310.105	0.000	2833.662	0.000	0.000	4143.767	4143.767	100.000	0.000	0.000	4143.767	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	2071.884	0.000	4153.767	1423.025	0.000	-414.377
Jan 1	10:00	3.147	497.032	0.000	993.093	0.000	0.000	1490.125	1490.125	100.000	0.000	0.000	1490.125	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	745.063	0.000	1500.125	1423.025	0.000	-149.012
Jan 1	11:00	4.953	4185.851	0.000	8150.384	0.000	0.000	12336.234	12336.234	100.000	0.000	0.000	12336.234	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	6168.117	0.000	12346.234	1423.025	0.000	-1233.623
Jan 1	12:00	2.508	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	0.000	0.000	10.000	1423.025	0.000	0.000
Jan 1	13:00	2.118	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	0.000	0.000	10.000	1423.025	0.000	0.000
Jan 1	14:00	3.324	862.854	0.000	1821.211	0.000	0.000	2684.065	2684.065	100.000	0.000	0.000	2684.065	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	1342.033	0.000	2694.065	1423.025	0.000	-268.407
Jan 1	15:00	2.569	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	0.000	0.000	10.000	1423.025	0.000	0.000
Jan 1	16:00	5.660	6229.304	0.000	9802.455	0.000	0.000	16031.760	16031.760	100.000	0.000	0.000	16031.760	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	8015.880	0.000	16041.760	1423.025	0.000	-1603.176
Jan 1	17:00	6.735	11115.999	0.000	16870.906	0.000	0.000	27986.906	27986.906	100.000	0.000	0.000	27986.906	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	13993.453	0.000	27996.906	1423.025	0.000	-2798.691
